StartTime,EndTime,LowFreq,HighFreq,DeltaTime,DeltaFreq,AvgPowerDensity,Annotation
9.911975729,10.12839356,2089.659,3335.011,0.2164,1245.352,-73.77,Birds
10.16570698,10.30749798,2659.566,4453.717,0.1418,1794.151,-72.21,Birds
10.47913971,10.78510975,1097.599,4010.456,0.306,2912.857,-69.61,Birds
12.83734785,12.95675079,1794.152,3229.473,0.1194,1435.321,-71.68,Birds
17.57143631,17.86248098,2786.212,3335.011,0.291,548.799,-73.58,Birds
18.69830159,18.82516722,1815.259,2638.458,0.1269,823.199,-73.73,Birds
21.35093325,21.41063472,2469.597,3208.365,0.0597,738.768,-70.61,Birds
21.81361965,22.1195897,3503.872,4010.456,0.306,506.584,-75.49,Birds
22.3509329,22.47033584,2722.889,3377.226,0.1194,654.337,-70.95,Birds
22.89570883,23.17929082,3461.657,3883.81,0.2836,422.153,-72.74,Birds
24.13451437,24.31361878,2617.35,3841.595,0.1791,1224.245,-70.37,Birds
23.0001864,23.20914156,1751.936,3102.827,0.209,1350.891,-74.14,Birds
24.64197688,24.73152909,1836.367,2279.628,0.0896,443.261,-68.8,Birds
25.25391697,25.63451385,2786.212,3208.365,0.3806,422.153,-69.96,Birds
25.92555852,26.41809567,2659.566,3440.549,0.4925,780.983,-68.17,Birds
26.91340396,27.3163889,2765.104,3229.473,0.403,464.369,-70.82,Birds
27.09997106,27.30892621,3187.257,3461.657,0.209,274.4,-71.37,Birds
27.83877678,28.42832881,2596.243,3250.58,0.5896,654.337,-70.31,Birds
28.82385106,28.97310474,2722.889,3503.872,0.1493,780.983,-70.02,Birds
29.72683582,29.98802976,2638.458,3947.133,0.2612,1308.675,-67.85,Birds
29.97310439,30.31638786,2638.458,3588.303,0.3433,949.845,-67.77,Birds
29.79942071,29.99345049,1160.922,1878.582,0.194,717.66,-72.14,Birds
30.19494296,30.37404738,1160.922,1920.798,0.1791,759.876,-71.76,Birds
30.46359958,30.5979279,1456.429,2258.52,0.1343,802.091,-74.13,Birds
30.89643525,31.0158382,1329.783,2300.735,0.1194,970.952,-72.51,Birds
31.93374833,32.13524079,1308.675,2237.413,0.2015,928.738,-72.39,Birds
30.784495,31.00837551,2617.35,4031.564,0.2239,1414.214,-69.19,Birds
31.72479318,31.82180807,2511.812,3546.088,0.097,1034.276,-66.07,Birds
31.50837534,31.63524097,1920.798,2638.458,0.1269,717.66,-71.27,Birds
31.89643491,32.15016616,2532.92,4517.04,0.2537,1984.12,-70.86,Birds
32.32927058,32.44867352,2511.812,4327.071,0.1194,1815.259,-70.45,Birds
32.50837499,32.71733015,2659.566,4474.825,0.209,1815.259,-70.42,Birds
33.18001655,33.3889717,2511.812,4242.641,0.209,1730.829,-72.37,Birds
32.57553915,32.76210625,1266.46,2342.951,0.1866,1076.491,-72,Birds
32.72479283,32.93374798,1751.936,2596.243,0.209,844.307,-70.36,Birds
33.47930175,33.74049569,2469.597,4474.825,0.2612,2005.228,-68.15,Birds
33.51661517,33.72557032,1139.814,2195.197,0.209,1055.383,-73.15,Birds
36.17471623,36.652328,2659.566,4221.533,0.4776,1561.967,-71.8,Birds
36.24934307,36.44337285,1224.245,2026.336,0.194,802.091,-72.8,Birds
37.88566414,38.13193271,2532.92,3630.518,0.2463,1097.598,-70.64,Birds
38.57969375,38.63939522,2554.027,3187.257,0.0597,633.23,-65,Birds
39.45282778,39.62446951,2638.458,3292.796,0.1716,654.338,-70.41,Birds
41.070796,41.3991541,2708.519,3301.007,0.3284,592.488,-69.04,Birds
43.49616829,43.66034734,2623.878,3279.847,0.1642,655.969,-68.58,Birds
45.04653479,45.24056457,2496.916,3576.091,0.194,1079.175,-72.05,Birds
46.18832544,46.3002657,2454.595,3237.526,0.1119,782.931,-71.5,Birds
46.40474327,46.49429548,2242.992,3089.404,0.0896,846.412,-74.41,Birds
48.15101132,48.37489184,2518.076,3216.366,0.2239,698.29,-70.06,Birds
50.34358188,50.60477582,2602.717,3322.168,0.2612,719.451,-69.34,Birds
52.27605553,52.39918982,2697.939,3174.045,0.1231,476.106,-72.57,Birds
53.0820254,53.17904029,1999.649,2391.114,0.097,391.465,-69.4,Birds
54.78244468,54.8906536,2676.778,3237.526,0.1082,560.748,-69.69,Birds
55.99886217,56.3122949,2645.038,3237.526,0.3134,592.488,-71.12,Birds
55.86453386,55.95408607,1957.328,2412.275,0.0896,454.947,-70.98,Birds
57.40132573,57.55431075,2475.755,3406.809,0.153,931.054,-71.64,Birds
58.62893724,58.75580287,2634.458,3459.709,0.1269,825.251,-72.32,Birds
59.79300867,59.99450113,2613.297,3459.709,0.2015,846.412,-70.33,Birds
48.64037741,49.03086908,677.13,952.214,0.3905,275.084,-71.26,Birds
49.27360715,49.6218835,613.649,846.412,0.3483,232.763,-68.61,Birds
8400.526087,8400.687308,4872.727,5793.939,0.1612,921.212,-63.54,Birds
8400.644881,8400.831557,5284.848,6496.97,0.1867,1212.121,-71.97,Birds
8401.153998,8401.425527,4290.909,5818.182,0.2715,1527.273,-59.95,Birds
8400.738219,8401.07763,2690.909,4630.303,0.3394,1939.394,-63.43,Birds
8401.36613,8401.561291,2181.818,3927.273,0.1952,1745.455,-66.4,Birds
8402.537098,8402.73226,3175.758,5503.03,0.1952,2327.273,-77.89,Birds
8402.358907,8402.486187,2812.121,3200,0.1273,387.879,-75.87,Birds
8400.033941,8404.081419,9212.121,9963.636,4.0475,751.515,-66.82,Insects
8403.470479,8403.750493,7296.97,7951.515,0.28,654.545,-78.06,Birds
8404.539624,8405.634225,2909.091,4048.485,1.0946,1139.394,-78.91,Birds
8407.729525,8407.848319,4896.97,5309.091,0.1188,412.121,-73.23,Birds
8407.958627,8408.018024,3975.758,4509.091,0.0594,533.333,-73.48,Birds
8407.984083,8408.298038,2448.485,3224.242,0.314,775.758,-66.15,Birds
8408.340465,8408.586538,4290.909,5503.03,0.2461,1212.121,-71.42,Birds
8408.569567,8408.773214,2206.061,4000,0.2036,1793.939,-74.4,Birds
8406.719777,8408.908978,703.03,1260.606,2.1892,557.576,-74.79,Birds
8405.769425,8413.516485,8945.455,9963.636,7.7471,1018.182,-71.32,Insects
8407.245864,8409.545374,10206.061,10545.455,2.2995,339.394,-75.2,Insects
8409.121357,8414.679215,266.667,630.303,5.5579,363.636,-66.41,Mammals
8414.407686,8414.585876,4945.455,5503.03,0.1782,557.576,-73.11,Birds
8414.594362,8414.772553,4266.667,4630.303,0.1782,363.636,-72.27,Birds
8414.6877,8414.933773,2690.909,3612.121,0.2461,921.212,-65.08,Birds
8415.027111,8415.290155,4193.939,5842.424,0.263,1648.485,-65.75,Birds
8415.307125,8415.451375,2569.697,3951.515,0.1442,1381.818,-68.65,Birds
8414.534965,8414.713156,5357.576,6278.788,0.1782,921.212,-78.31,Birds
8414.822205,8417.452642,8484.848,9454.545,2.6304,969.697,-74.5,Insects
8413.931251,8417.215054,9963.636,10690.909,3.2838,727.273,-72.6,Insects
8417.639318,8421.118282,10206.061,10787.879,3.479,581.818,-70.63,Insects
8417.944788,8423.018984,8751.515,9648.485,5.0742,896.97,-68.77,Insects
8415.313077,8415.474298,509.091,775.758,0.1612,266.667,-73,Domestic mammals
8416.195546,8416.348281,412.121,775.758,0.1527,363.636,-72.34,Domestic mammals
8417.05256,8417.179839,412.121,896.97,0.1273,484.848,-71.87,Domestic mammals
8417.892602,8418.053822,533.333,848.485,0.1612,315.152,-71.92,Domestic mammals
8418.749615,8418.927806,436.364,727.273,0.1782,290.909,-73.11,Domestic mammals
8419.615114,8419.759363,509.091,896.97,0.1442,387.879,-72.17,Domestic mammals
8417.311071,8417.463806,1890.909,2303.03,0.1527,412.121,-76.03,Birds
8418.252937,8419.814228,1842.424,2424.242,1.5613,581.818,-78.48,Birds
8421.094941,8423.759319,824.242,1115.152,2.6644,290.909,-71.04,Birds
8420.75553,8423.699922,242.424,630.303,2.9444,387.879,-69.4,Mammals
8421.196765,8424.124186,10109.091,10666.667,2.9274,557.576,-74.54,Insects
8420.59431,8420.696133,2909.091,3563.636,0.1018,654.545,-74.36,Birds
8423.658089,8423.768398,3393.939,3878.788,0.1103,484.848,-76.97,Birds
8425.847291,8426.093364,2690.909,3612.121,0.2461,921.212,-66.23,Birds
8425.6691,8425.821835,5600,6521.212,0.1527,921.212,-78.23,Birds
8425.558792,8425.736983,4969.697,5672.727,0.1782,703.03,-77.57,Birds
8426.220644,8426.466717,4266.667,5478.788,0.2461,1212.121,-65.92,Birds
8426.466717,8426.653393,2400,4024.242,0.1867,1624.242,-70.92,Birds
8424.472676,8431.659707,8654.545,9866.667,7.187,1212.121,-71.17,Insects
8428.282566,8431.540913,10109.091,10812.121,3.2583,703.03,-77.21,Insects
8426.490667,8427.466474,727.273,1187.879,0.9758,460.606,-74.21,Birds
8429.449018,8429.618723,3006.061,3345.455,0.1697,339.394,-75.34,Birds
8430.424825,8430.679383,3272.727,3878.788,0.2546,606.061,-77.67,Birds
8431.196985,8431.443058,3103.03,3806.061,0.2461,703.03,-78.67,Birds
8432.011572,8432.300071,3345.455,3878.788,0.2885,533.333,-77.39,Birds
8432.605541,8432.71585,3393.939,3951.515,0.1103,557.576,-79.04,Birds
8432.792217,8433.360731,1284.848,1527.273,0.5685,242.424,-68.3,Birds
8433.636228,8440.034128,8848.485,9842.424,6.3979,993.939,-69.77,Insects
8436.495767,8436.699414,3272.727,4218.182,0.2036,945.455,-77.79,Birds
8436.595506,8439.327765,169.697,654.545,2.7323,484.848,-63.6,Mammals
8435.313186,8436.755683,1793.939,2278.788,1.4425,484.848,-76.7,Birds
8439.08065,8439.309752,3830.303,4363.636,0.2291,533.333,-48.1,Birds
8439.352179,8439.555825,5793.939,6690.909,0.2036,896.97,-59.75,Birds
8439.445517,8439.750987,3466.667,4775.758,0.3055,1309.091,-50.96,Birds
8439.666134,8440.166765,2278.788,7054.545,0.5006,4775.758,-55.83,Birds
8439.530369,8439.742501,7151.515,7830.303,0.2121,678.788,-74.42,Birds
8440.981352,8441.168028,4993.939,5478.788,0.1867,484.848,-75.64,Birds
8441.286822,8441.549866,2666.667,4387.879,0.263,1721.212,-68.47,Birds
8441.694115,8441.940189,4242.424,5430.303,0.2461,1187.879,-66.3,Birds
8441.787454,8442.109894,2400,4072.727,0.3224,1672.727,-76.77,Birds
8439.841893,8440.096451,484.848,727.273,0.2546,242.424,-69.79,Domestic mammals
8440.741332,8441.241964,315.152,775.758,0.5006,460.606,-70.53,Domestic mammals
8441.538948,8441.742595,315.152,800,0.2036,484.848,-71.87,Domestic mammals
8442.328079,8442.514755,460.606,703.03,0.1867,242.424,-71.32,Domestic mammals
8443.091754,8443.269945,509.091,848.485,0.1782,339.394,-71.66,Domestic mammals
8442.341807,8442.486056,2787.879,3272.727,0.1442,484.848,-74.78,Birds
8442.596365,8442.672733,2739.394,3393.939,0.0764,654.545,-76.79,Birds
8444.327362,8444.658288,2957.576,4218.182,0.3309,1260.606,-77.66,Birds
8441.399941,8446.041388,8654.545,10012.121,4.6414,1357.576,-70.6,Insects
8444.980728,8447.823297,10303.03,10739.394,2.8426,436.364,-76,Insects
8443.781177,8444.196955,2375.758,3272.727,0.4158,896.97,-79.2,Birds
8446.301305,8447.726831,606.061,969.697,1.4255,363.636,-72.35,Mammals
8448.181446,8453.849612,8775.758,9793.939,5.6682,1018.182,-70.35,Insects
8448.30024,8448.716018,2884.848,4000,0.4158,1115.152,-78.18,Birds
8450.268824,8450.514897,2739.394,3515.152,0.2461,775.758,-75.41,Birds
8450.710059,8450.922191,4072.727,5406.061,0.2121,1333.333,-73.89,Birds
8448.868753,8451.626469,1430.303,2400,2.7577,969.697,-77.4,Birds
8453.221701,8454.655713,3030.303,3903.03,1.434,872.727,-77.13,Birds
8450.939161,8451.439793,2400,3660.606,0.5006,1260.606,-78.18,Birds
8453.878225,8456.703823,10088.71,10741.935,2.8256,653.226,-76.72,Insects
8456.593514,8459.999979,9387.097,9411.29,3.4065,24.194,-71.25,Insects
8459.325774,8459.563362,2661.29,3338.71,0.2376,677.419,-66.89,Birds
8459.67367,8459.919743,4379.032,5637.097,0.2461,1258.065,-67.97,Birds
8459.868832,8459.999979,3266.129,3991.935,0.1311,725.806,-68.33,Birds
8455.25284,8455.431031,4064.516,5467.742,0.1782,1403.226,-79.13,Birds
8459.079701,8459.20698,4790.323,5612.903,0.1273,822.581,-77.91,Birds
2520.007586,2520.125328,2324.607,3685.864,0.1177,1361.257,-70.09,Birds
2520.625732,2520.684603,3790.576,4565.445,0.0589,774.869,-66.65,Birds
2520.728756,2520.861216,2722.513,3183.246,0.1325,460.733,-61.66,Birds
2520.924993,2521.199724,2031.414,4691.099,0.2747,2659.686,-70.86,Birds
2521.940518,2522.112226,3685.864,5696.335,0.1717,2010.471,-64.12,Birds
2522.406581,2522.622441,2617.801,3790.576,0.2159,1172.775,-56.12,Birds
2522.077884,2522.465452,3958.115,5675.393,0.3876,1717.277,-61.32,Birds
2522.583194,2522.72056,5717.277,6031.414,0.1374,314.136,-68.71,Birds
2522.715654,2522.818678,3895.288,5214.66,0.103,1319.372,-69.63,Birds
2522.848113,2522.965856,3225.131,4293.194,0.1177,1068.063,-57.34,Birds
2522.857925,2522.990385,2848.168,3204.188,0.1325,356.021,-59.63,Birds
2522.627347,2522.784337,2136.126,2931.937,0.157,795.812,-58.07,Birds
2522.813772,2522.882455,4837.696,5277.487,0.0687,439.791,-71.12,Birds
2522.926608,2523.010009,4963.351,5298.429,0.0834,335.079,-69.89,Birds
2523.049256,2523.103221,5026.178,5465.969,0.054,439.791,-67.98,Birds
2523.005103,2523.127751,3015.707,3790.576,0.1226,774.869,-64.76,Birds
2521.572574,2521.651069,4963.351,5340.314,0.0785,376.963,-74.06,Birds
2521.695222,2521.73447,4900.524,5403.141,0.0392,502.618,-70.01,Birds
2521.803153,2521.862024,4879.581,5277.487,0.0589,397.906,-71.09,Birds
2522.931514,2523.039444,1884.817,3162.304,0.1079,1277.487,-62.95,Birds
2523.024727,2523.245493,2324.607,3078.534,0.2208,753.927,-59.46,Birds
2523.019821,2523.211152,2952.88,5089.005,0.1913,2136.126,-64.65,Birds
2523.485883,2523.68212,2534.031,3832.461,0.1962,1298.429,-70.82,Birds
2523.211152,2523.461353,2408.377,3623.037,0.2502,1214.66,-67.92,Birds
2523.799862,2524.879164,3685.864,5863.874,1.0793,2178.01,-62.87,Birds
2520.606108,2520.72385,418.848,837.696,0.1177,418.848,-69.26,Domestic mammals
2521.366526,2521.518609,418.848,795.812,0.1521,376.963,-68.34,Domestic mammals
2522.195626,2522.293745,376.963,732.984,0.0981,356.021,-67.36,Domestic mammals
2522.990385,2523.113033,418.848,774.869,0.1226,356.021,-69.48,Domestic mammals
2523.780238,2523.92251,481.675,753.927,0.1423,272.251,-69.11,Domestic mammals
2523.573979,2523.76531,4314.136,5298.429,0.1913,984.293,-74.17,Birds
2524.392286,2524.549275,544.503,858.639,0.157,314.136,-70.56,Domestic mammals
2525.44947,2525.981498,4949.555,5305.638,0.532,356.083,-72.54,Birds
2526.185253,2526.643703,4985.163,5341.246,0.4584,356.083,-70.59,Birds
2528.392603,2528.95859,5020.772,5376.855,0.566,356.083,-73.18,Birds
2529.59118,2530.395751,4985.386,5486.43,0.8046,501.044,-73.12,Birds
2531.151263,2531.686008,5010.438,5361.169,0.5347,350.731,-73.42,Birds
2531.93621,2532.225659,5010.438,5311.065,0.2894,300.626,-71.54,Birds
2532.63285,2533.48648,5035.491,5286.013,0.8536,250.522,-71.28,Birds
2525.501992,2525.727664,2379.958,2881.002,0.2257,501.044,-75.01,Birds
2525.899372,2526.066173,2695.082,3206.557,0.1668,511.475,-74.75,Birds
2526.174103,2526.74319,2911.475,3403.279,0.5691,491.803,-74.41,Birds
2526.787343,2526.909991,2596.721,4150.82,0.1226,1554.098,-72.72,Birds
2526.929615,2527.042451,2380.328,3560.656,0.1128,1180.328,-70.89,Birds
2527.209252,2527.35643,2262.295,3914.754,0.1472,1652.459,-72.09,Birds
2527.008109,2527.130757,3344.262,4111.475,0.1226,767.213,-73.88,Birds
2527.317182,2527.420207,3481.967,4170.492,0.103,688.525,-68.62,Birds
2527.326994,2527.483984,2557.377,3462.295,0.157,904.918,-73.14,Birds
2527.493795,2527.675314,2990.164,3737.705,0.1815,747.541,-69.7,Birds
2527.743997,2527.861739,3167.213,3934.426,0.1177,767.213,-71.36,Birds
2527.979481,2528.05307,3265.574,4445.902,0.0736,1180.328,-65.57,Birds
2528.254213,2528.45045,2577.049,3324.59,0.1962,747.541,-69.13,Birds
2528.023635,2528.200248,2636.066,3816.393,0.1766,1180.328,-68.98,Birds
2528.470073,2528.622157,2655.738,3049.18,0.1521,393.443,-70.01,Birds
2528.926324,2529.06369,2695.082,4504.918,0.1374,1809.836,-64.48,Birds
2529.078407,2529.372763,4485.246,5429.508,0.2944,944.262,-67.08,Birds
2529.603341,2529.86826,2104.918,4878.689,0.2649,2773.77,-66.55,Birds
2529.313892,2529.568999,2006.557,4918.033,0.2551,2911.475,-62.33,Birds
2529.068596,2529.318797,3481.967,3954.098,0.2502,472.131,-72.04,Birds
2529.034254,2529.323703,2754.098,3324.59,0.2894,570.492,-72.63,Birds
2526.458646,2526.556765,806.557,1160.656,0.0981,354.098,-71.82,Domestic mammals
2527.189628,2527.292653,747.541,1259.016,0.103,511.475,-71.01,Domestic mammals
2528.764429,2528.887077,963.934,1239.344,0.1226,275.41,-69.76,Domestic mammals
2529.470881,2529.613153,334.426,826.23,0.1423,491.803,-62.95,Domestic mammals
2529.928742,2531.214093,2872.131,4367.213,1.2854,1495.082,-75.12,Birds
2531.3024,2531.547696,4249.18,4898.361,0.2453,649.18,-70.98,Birds
2531.920546,2531.99904,3836.066,4780.328,0.0785,944.262,-72.26,Birds
2532.077535,2532.165842,2793.443,3855.738,0.0883,1062.295,-71.81,Birds
2532.244336,2532.42095,3757.377,4937.705,0.1766,1180.328,-70.45,Birds
2532.293396,2532.489632,2360.656,4032.787,0.1962,1672.131,-69.55,Birds
2532.514162,2532.705493,2537.705,3167.213,0.1913,629.508,-69.24,Birds
2532.774176,2532.980224,2891.803,3737.705,0.206,845.902,-70.54,Birds
2532.896824,2532.990036,3560.656,4367.213,0.0932,806.557,-72.84,Birds
2533.132308,2533.573841,2852.459,3265.574,0.4415,413.115,-71.32,Birds
2534.452,2534.564836,668.852,944.262,0.1128,275.41,-68.59,Domestic mammals
2534.768852,2535.548893,4996.721,5311.475,0.78,314.754,-71.87,Birds
2536.196474,2536.799902,5055.738,5449.18,0.6034,393.443,-71.55,Birds
2535.416433,2535.553799,3757.377,4642.623,0.1374,885.246,-64.59,Birds
2534.729604,2534.847346,2714.754,4150.82,0.1177,1436.066,-74.07,Birds
2534.896406,2535.068113,4131.148,4563.934,0.1717,432.787,-73.22,Birds
2535.563611,2535.705882,2695.082,3167.213,0.1423,472.131,-60.41,Birds
2535.750036,2536.024767,2163.934,4740.984,0.2747,2577.049,-68.05,Birds
2536.402523,2536.638007,4150.82,4957.377,0.2355,806.557,-66.07,Birds
2536.696878,2536.819526,2065.574,3167.213,0.1226,1101.639,-58.99,Birds
2536.638007,2536.794996,3442.623,4878.689,0.157,1436.066,-63.28,Birds
2536.044391,2536.171945,2734.426,3481.967,0.1276,747.541,-72.65,Birds
2536.152321,2536.270063,3167.213,3836.066,0.1177,668.852,-66.38,Birds
2536.216098,2536.373087,2776.398,4602.484,0.157,1826.087,-65.87,Birds
2536.377993,2536.4663,2515.528,3409.938,0.0883,894.41,-67.52,Birds
2536.584042,2536.765561,2236.025,3093.168,0.1815,857.143,-60.3,Birds
2537.727121,2538.369797,4900.621,5329.193,0.6427,428.571,-73.17,Birds
2538.801692,2539.042082,3726.708,5776.398,0.2404,2049.689,-58.67,Birds
2538.767351,2538.855657,3559.006,4565.217,0.0883,1006.211,-67.26,Birds
2539.086236,2539.532674,2478.261,5664.596,0.4464,3186.335,-57.86,Birds
2538.929246,2539.233413,2850.932,3223.602,0.3042,372.671,-70.31,Birds
2539.743629,2539.925148,3149.068,4472.05,0.1815,1322.981,-53.51,Birds
2539.248131,2539.650416,2142.857,3354.037,0.4023,1211.18,-62.71,Birds
2539.552298,2539.782876,2086.957,3223.602,0.2306,1136.646,-65.18,Birds
2539.876089,2539.969301,1788.82,3167.702,0.0932,1378.882,-64.55,Birds
2539.959489,2540.170444,2254.658,3409.938,0.211,1155.28,-64.56,Birds
2540.052702,2540.185162,2590.062,3689.441,0.1325,1099.379,-66.52,Birds
2540.244033,2540.479517,2590.062,3186.335,0.2355,596.273,-66.94,Birds
2539.974207,2540.572729,4900.621,5459.627,0.5985,559.006,-73.91,Birds
2537.623641,2537.937619,2534.161,2925.466,0.314,391.304,-72.29,Birds
2540.939586,2541.057328,2757.764,4677.019,0.1177,1919.255,-64.48,Amphibians
2541.086764,2541.346777,4192.547,5329.193,0.26,1136.646,-64.89,Birds
2541.43999,2541.807934,4881.988,5329.193,0.3679,447.205,-72.64,Birds
2541.989453,2542.901954,4900.621,5310.559,0.9125,409.938,-72.5,Birds
2543.348147,2543.617972,4993.789,5291.925,0.2698,298.137,-68.8,Birds
2544.000634,2544.741428,4993.789,5366.46,0.7408,372.671,-69.66,Birds
2545.182961,2546.016967,4975.155,5291.925,0.834,316.77,-70.23,Birds
2541.366611,2541.533413,2608.696,4695.652,0.1668,2086.957,-61.77,Amphibians
2541.798332,2541.950416,3055.901,3987.578,0.1521,931.677,-65.65,Birds
2541.925886,2542.156464,4043.478,4602.484,0.2306,559.006,-70.92,Birds
2542.131935,2542.249677,2683.23,3577.64,0.1177,894.41,-66.66,Birds
2542.284018,2542.544032,2683.23,3875.776,0.26,1192.547,-68.15,Birds
2542.465537,2542.627433,3223.602,4677.019,0.1619,1453.416,-62.25,Birds
2542.632339,2542.715739,2832.298,3111.801,0.0834,279.503,-56.14,Birds
2542.789328,2543.083683,1975.155,4863.354,0.2944,2888.199,-66.23,Birds
2541.239057,2541.312646,2813.665,3167.702,0.0736,354.037,-70.33,Birds
2541.494165,2541.78852,2888.199,3204.969,0.2944,316.77,-70.56,Birds
2539.441844,2539.559586,670.807,1490.683,0.1177,819.876,-63.9,Domestic mammals
2539.912813,2540.069802,633.54,1434.783,0.157,801.242,-56.07,Domestic mammals
2542.085784,2542.247679,559.006,1565.217,0.1619,1006.211,-58.36,Domestic mammals
2538.855237,2538.982791,437.401,722.662,0.1276,285.261,-66.97,Domestic mammals
2539.64509,2539.738302,475.436,760.697,0.0932,285.261,-67.87,Domestic mammals
2540.376072,2540.464378,456.418,722.662,0.0883,266.244,-66.6,Domestic mammals
2541.116725,2541.209937,418.384,817.75,0.0932,399.366,-67.46,Domestic mammals
2543.314577,2543.437225,456.418,817.75,0.1226,361.331,-68.61,Domestic mammals
2536.547804,2536.675358,404.722,728.499,0.1276,323.777,-68.09,Domestic mammals
2537.357281,2537.48974,384.486,728.499,0.1325,344.013,-67.55,Domestic mammals
2535.743233,2535.900222,445.194,829.68,0.157,384.486,-68.9,Domestic mammals
2542.451306,2542.657354,429.338,1524.15,0.206,1094.812,-59.76,Domestic mammals
2544.035918,2544.168377,472.272,815.742,0.1325,343.47,-68.53,Domestic mammals
2544.722746,2544.894453,515.206,966.011,0.1717,450.805,-69.41,Domestic mammals
2547.312195,2547.449561,729.875,1545.617,0.1374,815.742,-54.71,Domestic mammals
2550.113229,2550.19663,450.805,858.676,0.0834,407.871,-69.53,Domestic mammals
2550.966859,2551.055166,1073.345,1245.081,0.0883,171.735,-60.81,Domestic mammals
2551.469279,2551.704763,493.739,1051.878,0.2355,558.14,-68.93,Domestic mammals
2552.715382,2552.901807,665.474,1223.614,0.1864,558.14,-65.5,Domestic mammals
2553.379923,2553.478041,601.073,1352.415,0.0981,751.342,-65.05,Domestic mammals
2553.909762,2554.047128,472.272,1223.614,0.1374,751.342,-63.22,Domestic mammals
2554.366013,2554.532814,429.338,1266.547,0.1668,837.209,-64.5,Domestic mammals
2555.450221,2555.670987,515.206,901.61,0.2208,386.404,-69.07,Domestic mammals
2555.877036,2556.02912,364.937,901.61,0.1521,536.673,-70.44,Domestic mammals
2556.343098,2556.48537,407.871,815.742,0.1423,407.871,-69.64,Domestic mammals
2559.937384,2560.251363,407.871,1180.68,0.314,772.809,-66.03,Domestic mammals
2560.634025,2560.908756,429.338,1288.014,0.2747,858.676,-63.97,Domestic mammals
2561.104993,2561.345383,493.739,1008.945,0.2404,515.206,-68.83,Domestic mammals
2561.585773,2561.75748,622.54,1051.878,0.1717,429.338,-66.92,Domestic mammals
2561.870316,2562.149954,343.47,1223.614,0.2796,880.143,-63.51,Domestic mammals
2562.656174,2562.764104,515.206,729.875,0.1079,214.669,-66.03,Domestic mammals
2563.392062,2563.593205,386.404,794.275,0.2011,407.871,-70.32,Domestic mammals
2563.735476,2563.907183,343.47,686.941,0.1717,343.47,-63.99,Domestic mammals
2564.222809,2564.409234,472.272,751.342,0.1864,279.07,-70.13,Domestic mammals
2565.071533,2565.228522,386.404,815.742,0.157,429.338,-70.66,Domestic mammals
2565.934975,2566.057623,386.404,966.011,0.1226,579.606,-65.82,Domestic mammals
2566.489344,2566.631615,472.272,772.809,0.1423,300.537,-68.12,Domestic mammals
2570.27426,2570.421437,515.206,923.077,0.1472,407.871,-67.86,Domestic mammals
2570.941465,2571.108266,407.871,858.676,0.1668,450.805,-69.53,Domestic mammals
2571.363374,2571.579234,472.272,751.342,0.2159,279.07,-69.81,Domestic mammals
2571.868684,2572.055109,322.004,665.474,0.1864,343.47,-70.01,Domestic mammals
2572.309024,2572.485637,343.47,686.941,0.1766,343.47,-64.69,Domestic mammals
2572.789804,2572.907546,300.537,644.007,0.1177,343.47,-68.54,Domestic mammals
